"","Beds","FBaths","Garage_Spaces","HBaths","DOM","Housing_Older_Persons_Act","Membership_Purch_Rqd","Pets_Allowed","Sale_Price","SqFt_Liv_Area","Style","Waterfront_Property","Year_Built","Zip_Code","Assoc_Fee_Paid","fecha","Marble","Vinyl","Clay","Terrazzo","Parquet","Tile","Ceramic","Carpeted","Wood","None","Street_Parking","One_Space","Two_Or_More_Spaces","Valet_Parking","No_Leasing","Ok_To_Lease","No_Lease_Onest_Year_Owned","No_Restrictions","Tax_Informationcat","Waterfront","East_Of_Us_One","West_Of_Us_One","On_Golf_Course","Penthouse","Corner_Unit","Direct_Ocean","Intracoastal_View","Golf_View","Canal","Ocean_View"
"61",3,3,1,"0",406,"Unverified","0","Yes",574000,2425,"T51-Townhouse Fee Simple","No","2018",33181,4560,"4","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"62",2,3,1,"0",587,"No HOPA","1","No",750000,1647,"C42-Condo 5+ Stories","Yes","2018",33160,9336,"11","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","1"
"63",3,3,1,"0",419,"Unverified","0","Yes",625000,1647,"C42-Condo 5+ Stories","Yes","2018",33160,0,"3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1"
"64",4,5,1,"0",181,"Unverified","0","Yes",1170000,362,"C42-Condo 5+ Stories","Yes","2003",33160,0,"7","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","0","0","0","1","1","1","0","0","1"
"65",3,3,2,"1",896,"Unverified","0","Yes",755000,3069,"C42-Condo 5+ Stories","Yes","2007",33160,24540,"6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
"66",1,1,1,"0",334,"No HOPA","0","Yes",245000,685,"C41-Condo 1-4 Stories","No","1965",33139,4956,"1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"67",2,2,1,"0",342,"No HOPA","0","Yes",330000,12,"C42-Condo 5+ Stories","No","1969",33139,6996,"4","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"68",2,2,1,"0",1062,"No HOPA","0","Yes",347000,1024,"C42-Condo 5+ Stories","Yes","2003",33160,4800,"8","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"69",3,4,1,"0",272,"No HOPA","0","Yes",1140000,316,"C42-Condo 5+ Stories","Yes","1996",33180,63000,"4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1"
"70",3,2,1,"1",1329,"Unverified","0","Yes",390000,2062,"T52-Townhouse Condo","Yes","2008",33178,0,"10","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"71",4,2,1,"1",191,"No HOPA","1","Yes",305290,1828,"T51-Townhouse Fee Simple","No","2020",33170,828,"5","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0"
"72",2,2,1,"0",593,"No HOPA","0","No",245500,908,"C42-Condo 5+ Stories","No","2007",33160,17688,"6","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"73",3,3,1,"1",402,"No HOPA","0","Yes",525000,1785,"C42-Condo 5+ Stories","Yes","2009",33160,14892,"5","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"74",3,2,2,"0",349,"No HOPA","0","Yes",467000,1458,"C42-Condo 5+ Stories","Yes","2009",33160,11592,"3","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"75",2,2,2,"1",658,"No HOPA","0","Yes",895000,1731,"C42-Condo 5+ Stories","No","2009",33160,7740,"5","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"76",3,2,2,"1",371,"No HOPA","0","Yes",4e+05,168,"T51-Townhouse Fee Simple","No","2018",33178,2436,"5","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"77",1,1,0,"0",473,"Unverified","0","Yes",210000,706,"C41-Condo 1-4 Stories","No","1945",33139,4164,"2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
"78",1,1,1,"1",1169,"Unverified","0","Yes",380000,906,"C42-Condo 5+ Stories","No","2016",33131,7800,"4","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"79",2,2,2,"1",1053,"No HOPA","0","Yes",321800,147,"C42-Condo 5+ Stories","Yes","2006",33141,12204,"3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"80",2,2,2,"1",1066,"No HOPA","0","Yes",340000,147,"C42-Condo 5+ Stories","Yes","2006",33141,12204,"7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"81",2,2,0,"0",1051,"No HOPA","0","Yes",3e+05,1183,"C42-Condo 5+ Stories","No","2004",33131,10008,"3","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"82",2,2,1,"0",1855,"No HOPA","0","Yes",356900,103,"C42-Condo 5+ Stories","Yes","2005",33131,8748,"1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"83",3,2,2,"1",5,"No HOPA","0","Yes",290990,172,"T51-Townhouse Fee Simple","No","2019",33032,1800,"4","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"84",3,2,2,"1",6,"No HOPA","0","Yes",300681,172,"T51-Townhouse Fee Simple","No","2019",33032,1800,"3","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"85",2,3,2,"0",264,"No HOPA","0","Yes",850000,1961,"C42-Condo 5+ Stories","Yes","2017",33160,11760,"3","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
