,Street_Name,X,Beds,Baths,Garage_Spaces,Baths.1,City_Name,Closing_Date,Complex_Name,County,DOM,Sale_Price,Street_Number_Numeric,Unit_Floor_Location,Waterfront_Description,Year_Built,Zip_Code,longitude,latitude
701,Brickell Key Blvd,969.0,3.0,3.0,2.0,0.0,Miami,2019-12-20,Courts Brickell Key,Miami-Dade County,219.0,620000.0,801.0,14.0,Bay Front,2002.0,33131.0,-80.18589329999999,25.7684451
928,Collins Ave,1103.0,0.0,1.0,1.0,0.0,Miami Beach,2019-12-06,FONTAINEBLEAU III SORRENT,Miami-Dade County,445.0,620000.0,4391.0,10.0,Ocean Front,2008.0,33140.0,-80.1210954,25.8632138
1310,Island Blvd,968.0,2.0,2.0,0.0,0.0,Aventura,2020-02-14,WILLIAMS ISLAND,Miami-Dade County,106.0,620000.0,4000.0,19.0,Intracoastal Front,1985.0,33160.0,-95.53250799999999,29.557535700000003
1870,Yacht Club Dr.,891.0,2.0,2.0,2.0,0.0,Aventura,2020-01-13,The Point,Miami-Dade County,297.0,620000.0,21055.0,28.0,Intracoastal Front,2002.0,33180.0,-95.030865,29.558926
999,Collins Ave,1086.0,2.0,2.0,1.0,0.0,Miami Beach,2020-02-14,The Georgian Condo,Miami-Dade County,55.0,618000.0,1623.0,3.0,Ocean Front,1980.0,33139.0,-80.1210954,25.8632138
1425,Ocean Blvd,1101.0,2.0,2.0,1.0,0.0,Lauderdale By The Sea,2020-03-17,Sea Ranch Club C,Broward County,33.0,618000.0,4900.0,7.0,Ocean Front,1981.0,33308.0,-78.86726479999999,33.70369960000001
1764,Sunny Isles Blvd,1066.0,3.0,2.0,1.0,1.0,Sunny Isles Beach,2020-03-12,400 SUNNY ISLES CONDO EAS,Miami-Dade County,23.0,615000.0,400.0,4.0,Bay Front,2015.0,33160.0,-80.1374728,25.9274603
489,Bayshore Dr,1052.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2020-02-21,BAYSHORE TOWERS,Broward County,112.0,615000.0,511.0,9.0,Intracoastal Front,1971.0,33304.0,-81.7704,26.128629999999998
1463,Ocean Blvd,1128.0,2.0,2.0,1.0,0.0,Lauderdale By The Sea,2020-03-02,Sea Ranch Club C,Broward County,17.0,615000.0,4900.0,9.0,Ocean Front,1981.0,33308.0,-78.86726479999999,33.70369960000001
536,Biscayne Blvd,984.0,2.0,2.0,1.0,0.0,Miami,2020-02-18,MARINABLUE,Miami-Dade County,77.0,615000.0,888.0,54.0,Bay Front,2008.0,33132.0,-80.1694305,25.8758273
